id,artist_id,user_id,festival_id,created_at,is_hidden
89,22,20,2,2025-12-14 08:42:34.918424+00,false
90,12,20,2,2025-12-14 08:42:45.696377+00,false
91,19,20,2,2025-12-14 08:42:57.611133+00,false
92,17,5,2,2025-12-14 08:48:40.088479+00,false
93,14,5,2,2025-12-14 08:49:15.705783+00,false
94,15,5,2,2025-12-14 08:49:21.407686+00,false
95,22,5,2,2025-12-14 08:49:30.242217+00,false
96,21,5,2,2025-12-14 08:51:15.848086+00,false
97,17,21,2,2025-12-14 09:05:53.308643+00,false
98,21,21,2,2025-12-14 09:06:00.456763+00,false
99,9,21,2,2025-12-14 09:06:09.322704+00,false
100,19,21,2,2025-12-14 09:06:15.532918+00,false
101,14,21,2,2025-12-14 09:06:32.836465+00,false
